sentence,label
They do not!,not!
They do to!,to!
I hope so.,so.
She okay?,okay?
Let's go.,go.
Wow,Wow
Okay -- you're gonna need to learn how to lie.,lie.
No,No
"I'm kidding.  You know how sometimes you just become this ""persona""?  And you don't know how to quit?",quit?
Like my fear of wearing pastels?,pastels?
"The ""real you"".","you""."
What good stuff?,stuff?
I figured you'd get to the good stuff eventually.,eventually.
Thank God!  If I had to hear one more story about your coiffure...,coiffure...
"Me.  This endless ...blonde babble. I'm like, boring myself.",myself.
What crap?,crap?
do you listen to this crap?,crap?
No...,No...
"Then Guillermo says, ""If you go any lighter, you're gonna look like an extra on 90210.""","90210."""
You always been this selfish?,selfish?
But,But
Then that's all you had to say.,say.
"Well, no...",no...
"You never wanted to go out with 'me, did you?",you?
I was?,was?
"I looked for you back at the party, but you always seemed to be ""occupied"".",occupied.
Tons,Tons
Have fun tonight?,tonight?
I believe we share an art instructor,instructor
You know Chastity?,Chastity?
"Looks like things worked out tonight, huh?",huh?
Hi.,Hi.
Who knows?  All I've ever heard her say is that she'd dip before dating a guy that smokes.,smokes.
So that's the kind of guy she likes? Pretty ones?,ones?
"Lesbian?  No. I found a picture of Jared Leto in one of her drawers, so I'm pretty sure she's not harboring same-sex tendencies.",tendencies.
She's not a...,a...
I'm workin' on it. But she doesn't seem to be goin' for him.,him.
"I really, really, really wanna go, but I can't.  Not unless my sister goes.",goes.
Sure have.,have.
"Eber's Deep Conditioner every two days. And I never, ever use a blowdryer without the diffuser attachment.",attachment.
How do you get your hair to look like that?,that?
You're sweet.,sweet.
You have my word.  As a gentleman,gentleman
I counted on you to help my cause. You and that thug are obviously failing. Aren't we ever going on our date?,date?
You got something on your mind?,mind?
Where?,Where?
There.,There.
"Well, there's someone I think might be --",--
How is our little Find the Wench A Date plan progressing?,progressing?
Forget French.,French.
That's because it's such a nice one.,one.
I don't want to know how to say that though.  I want to know useful things. Like where the good stores are.  How much does champagne cost?  Stuff like Chat.  I have never in my life had to point out my head to someone.,someone.
Right.  See?  You're ready for the quiz.,quiz.
C'esc ma tete. This is my head,head
Let me see what I can do.,do.
"Gosh, if only we could find Kat a boyfriend...",boyfriend...
That's a shame.,shame.
"Unsolved mystery.  She used to be really popular when she started high school, then it was just like she got sick of it or something.",something.
Why?,Why?
Seems like she could get a date easy enough...,enough...
"The thing is, Cameron -- I'm at the mercy of a particularly hideous breed of loser.  My sister.  I can't date until she does.",does.
Cameron.,Cameron.
"No, no, it's my fault -- we didn't have a proper introduction ---",---
Forget it.,it.
You're asking me out.  That's so cute. What's your name again?,again?
Okay... then how 'bout we try out some French cuisine.  Saturday?  Night?,Night?
Not the hacking and gagging and spitting part.  Please.,Please.
"Well, I thought we'd start with pronunciation, if that's okay with you.",you.
Can we make this quick?  Roxanne Korrine and Andrew Barrett are having an incredibly horrendous public break- up on the quad.  Again.,Again.
I did.,did.
You think you ' re the only sophomore at the prom?,prom?
I don't have to be home 'til two.,two.
I have to be home in twenty minutes.,minutes.
All I know is -- I'd give up my private line to go out with a guy like Joey.,Joey.
"Sometimes I wonder if the guys we're supposed to want to go out with are the ones we actually want to go out with, you know?",know?
"Bianca, I don't think the highlights of dating Joey Dorsey are going to include door-opening and coat-holding.",coat-holding.
Combination.  I don't know -- I thought he'd be different.  More of a gentleman...,gentleman...
Is he oily or dry?,dry?
"He practically proposed when he found out we had the same dermatologist. I mean. Dr. Bonchowski is great an all, but he's not exactly relevant party conversation.",conversation.
"Would you mind getting me a drink, Cameron?",Cameron?
Great,Great
Joey.,Joey.
Who?,Who?
Where did he go?  He was just here.,here.
You might wanna think about it,it
No.,No.
Did you change your hair?,hair?
You know the deal.  I can ' t go if Kat doesn't go --,--
"Listen, I want to talk to you about the prom.",prom.
You're concentrating awfully hard considering it's gym class.,class.
"Hi, Joey.",Joey.
"Hey, sweet cheeks.",cheeks.
My agent says I've got a good shot at being the Prada guy next year.,year.
Neat...,Neat...
"It's a gay cruise line, but I'll be, like, wearing a uniform and stuff.",stuff.
Queen Harry?,Harry?
"So yeah, I've got the Sears catalog thing going -- and the tube sock gig "" that's gonna be huge.  And then I'm up for an ad for Queen Harry next week.",week.
Hopefully.,Hopefully.
"Exactly  So, you going to Bogey Lowenbrau's thing on Saturday?",Saturday?
Expensive?,Expensive?
It's more,more
Perm?,Perm?
Patrick -- is that- a.,a.
It's just you.,you.
Is that woman a complete fruit-loop or is it just me?,me?
No! I just wanted,wanted
What? To completely damage me?  To send me to therapy forever? What?,What?
I just wanted --,--
You set me up.,up.
Let go!,go!
So did you,you
"You looked beautiful last night, you know.",know.
"I guess I'll never know, will I?",I?
"Not all experiences are good, Bianca. You can't always trust the people you want to.",to.
"God, you're just like him! Just keep me locked away in the dark, so I can't experience anything for myself",myself
I guess I thought I was protecting you.,you.
I'm not stupid enough to repeat your mistakes.,mistakes.
That's not,not
"No. you didn't!  If you really thought I could make my own decisions, you would've let me go out with him instead of helping Daddy hold me hostage.",hostage.
I wanted to let you make up your own mind about him.,him.
Why didn't you tell me?,me?
"After that, I swore I'd never do anything just because ""everyone else"" was doing it.  And I haven't since. Except for Bogey's party, and my stunning gastro-intestinal display --",--
But,But
"Just once.  Afterwards, I told him I didn't want to anymore.  I wasn't ready. He got pissed.  Then he broke up with me.",me.
You did what?,what?
He said everyone was doing it.  So I did it.,it.
As in...,in...
"Now I do.  Back then, was a different story.",story.
But you hate Joey,Joey
"He was, like, a total babe",babe
Why?,Why?
In 9th.  For a month,month
What?,What?
"Joey never told you we went out, did he?",he?
"I wish I had that luxury. I'm the only sophomore that got asked to the prom and I can't go, because you won ' t.",t.
"I do care. But I'm a firm believer in doing something for your own reasons, not someone else ' s .",.
Like you care.,care.
"Listen, I know you hate having to sit home because I'm not Susie High School.",School.
You're welcome.,welcome.
"I don't get you.  You act like you're too good for any of this, and then you go totally apeshit when you get here.",here.
I really don't think I need any social advice from you right now.,now.
"Bianca, I need to talk to you -- I need to tell you --",--
Can we go now?,now?
You are so completely unbalanced.,unbalanced.
"Yeah, he's your freak friend Mandella's boyfriend.  I guess since I'm not allowed to go out, I should obsess over a dead guy, too.",too.
It's Shakespeare.  Maybe you've heard of him?,him?
Like I'm supposed to know what that even means.,means.
At least I'm not a clouted fen- sucked hedge-pig.,hedge-pig.
Can't you forget for just one night that you're completely wretched?,wretched?
"Bogey Lowenstein's party is normal, but you're too busy listening to Bitches Who Need Prozac to know that.",that.
What's normal?,normal?
"You're ruining my life'  Because you won't be normal, I can't be normal.",normal.
I think you're a freak.  I think you do this to torture me.  And I think you suck.,suck.
What do you think?,think?
"Oh, I thought you might have a date  I don't know why I'm bothering to ask, but are you going to Bogey Lowenstein's party Saturday night?",night?
It means that Gigglepuss is playing at Club Skunk and we're going.,going.
"Oh my God, does this mean you're becoming normal?",normal?
Can you at least start wearing a bra?,bra?
I have the potential to smack the crap out of you if you don't get out of my way.,way.
"Nowhere... Hi, Daddy.",Daddy.
Where've you been?,been?
"I have a date, Daddy.  And he ' s not a captain of oppression like some men we know.",know.
I'm missing something.,something.
Fine.  I see that I'm a prisoner in my own house.  I'm not a daughter. I'm a possession!,possession!
You're not going unless your sister goes.  End of story.,story.
"He's not a ""hot rod"".  Whatever that is.",is.
"It's that hot rod Joey, right? That ' s who you want me to bend my rules for?",for?
"No, but",but
The prom?  Kat has a date?,date?
"Daddy, I want to discuss the prom with you. It's tomorrow night --",--
Because she'll scare them away.,away.
Why?,Why?
Promise me you won't talk to any boys unless your sister is present.,present.
Just for a minute,minute
"Daddy, no!",no!
Wear the belly before you go.,go.
It's just a party. Daddy.,Daddy.
"Oh, God.  It's starting.",starting.
"If Kat's not going, you're not going.",going.
"Daddy, people expect me to be there!",there!
"It's just a party. Daddy, but I knew you'd forbid me to go since ""Gloria Steinem"" over there isn't going --",--
Otherwise known as an orgy?,orgy?
"If you must know, we were attempting to go to a small study group of friends.",friends.
And where're you going?,going?
"Daddy, I --",--
Exactly my point,point
But she doesn't want to date.,date.
"But it's not fair -- she's a mutant, Daddy!",Daddy!
Then neither will you.  And I'll get to sleep at night.,night.
What if she never starts dating?,dating?
No! You're not dating until your sister starts dating.  End of discussion.,discussion.
"Now don't get upset. Daddy, but there's this boy... and I think he might ask...",ask...
Just sent 'em through.,through.
"Padua girls.  One tall, decent body. The other one kinda short and undersexed?",undersexed?
Never,Never
Fan of a fan.  You see a couple of minors come in?,in?
Didn't have you pegged for a Gigglepuss fan.  Aren't they a little too pre-teen belly-button ring for you?,you?
"Always a pleasure, Brucie.",Brucie.
"Best case scenario, you're back on the payroll for awhile.",awhile.
You humiliated the woman! Sacrifice yourself on the altar of dignity and even the score.,score.
"No, I ' m not.",not.
"Buttholus extremus.  But hey, you're making progress.",progress.
The hell is that?  What kind of 'guy just picks up a girl and carries her away while you're talking to her?,her?
Extremely unfortunate maneuver.,maneuver.
"Hell, I've just been going over the whole thing in my head and -",-
You told me that part already.,already.
It's her favorite band.,band.
Assail your ears for one night.,night.
Okay!  I wasn't sure,sure
He's pretty!,pretty!
Dead at forty-one.,forty-one.
Her favorite uncle,uncle
It's a lung cancer issue,issue
Number one.  She hates smokers,smokers
Are you kidding?  He'll piss himself with joy.  He's the ultimate kiss ass.,ass.
Will Bogey get bent?,bent?
"In that case, we'll need to make it a school-wide blow out.",out.
This is it.  A golden opportunity. Patrick can ask Katarina to the party.,party.
"Like we had a choice?  Besides -- when you let the enemy think he's orchestrating the battle, you're in a position of power. We let him pretend he's calling the shots, and while he's busy setting up the plan, you have time to woo Bianca.",Bianca.
You got him involved?,involved?
Hey -- I've gotta have a few clients when I get to Wall Street.,Street.
I thought you hated those people.,people.
"You know, if you do go out with Bianca, you'd be set.  You'd outrank everyone. Strictly A-list.  With me by your side.",side.
That's what I just said,said
Did she actually say she'd go out with you?,you?
Forget his reputation.  Do you think we've got a plan or not?,not?
"I'm serious, man, he's whacked.  He sold his own liver on the black market so he could buy new speakers.",speakers.
They always let felons sit in on Honors Biology?,Biology?
No kidding.  He's a criminal.  I heard he lit a state trooper on fire.  He just got out of Alcatraz...,Alcatraz...
He seems like he thrives on danger,danger
What makes you think he'll do it?,it?
You wanna go out with him?,him?
What about him?,him?
"Unlikely, but even so, she still can't go out with you.  So what's the point?",point?
"I teach her French, get to know her, dazzle her with charm and she falls in love with me.",me.
"The mewling, rampalian wretch herself.",herself.
That's her?  Bianca's sister?,sister?
"Yeah, just a minor encounter with the shrew.",shrew.
"You could consecrate with her, my friend.",friend.
You mean I'd get a chance to talk to her?,her?
Guess who just signed up for a tutor?,tutor?
Sure do ... my Mom's from Canada,Canada
You know French?,French?
"Joey Dorsey?  Perma-shit-grin.  I wish I could say he's a moron, but he's number twelve in the class.  And a model.  Mostly regional stuff, but he's rumored to have a big tube sock ad coming out.",out.
He always have that shit-eating grin?,grin?
"Because they're bred to.  Their mothers liked guys like that, and their grandmothers before them. Their gene pool is rarely diluted.",diluted.
Why do girls like that always like guys like that?,that?
"I could start with your haircut, but it doesn't matter.  She's not allowed to date until her older sister does.  And that's an impossibility.",impossibility.
Why not?,not?
Bianca Stratford.  Sophomore. Don't even think about it,it
Who is she?,she?
"You burn, you pine, you perish?",perish?
That girl -- I --,--
"Yeah, but these guys have never seen a horse.  They just jack off to Clint Eastwood.",Eastwood.
That I'm used to.,to.
Couple thousand. Most of them evil,evil
How many people go here?,here?
Get out!,out!
Thirty-two.,Thirty-two.
How many people were in your old school?,school?
"Yeah.  A couple.  We're outnumbered by the cows, though.",though.
I was kidding. People actually live there?,there?
"North, actually.  How'd you   ?",?
So -- which Dakota you from?,from?
C'mon.  I'm supposed to give you the tour.,tour.
So they tell me...,me...
You the new guy?,guy?
You get the girl.,girl.
What's the worst?,worst?
Where?,Where?
She kissed me.,me.
You makin' any headway?,headway?
She just needs time to cool off I'll give it a day.,day.
She hates you with the fire of a thousand suns .  That's a direct quote,quote
I don ' t know.  I decided not to nail her when she was too drunk to remember it.,it.
What'd you do to her?,her?
"Then, go get her",her
Sure,Sure
Cameron -- do you like the girl?,girl?
"She's partial to Joey, not me",me
What 're you talking about?,about?
It's off. The whole thing.,thing.
"Cameron, I'm a little busy",busy
"Don't make me do it, man",man
Gigglepuss is playing there tomorrow night.,night.
So what does that give me?  I'm supposed to buy her some noodles and a book and sit around listening to chicks who can't play their instruments?,instruments?
"Okay -- Likes:  Thai food, feminist prose, and ""angry, stinky girl music of the indie-rock persuasion"".","persuasion""."
I've retrieved certain pieces of information on Miss Katarina Stratford I think you'll find helpful.,helpful.
What've you got for me?,me?
Yeah -- we'll see.,see.
And he means that strictly in a non- prison-movie type of way.,way.
And why would I do that?,that?
Leave my sister alone.,alone.
Your sister here?,here?
Away.,Away.
Where ya goin?,goin?
Not at all,all
Hey -- do you mind?,mind?
They're running the rest of me next month.,month.
"Yeah, and I noticed the only part of you featured in your big Kmart spread was your elbow.  Tough break.",break.
"The vintage look is over, Kat. Haven't you been reading your Sassy?",Sassy?
Enough with the Barbie n' Ken shit. I know.,know.
"I don't know, Dorsey. ..the limo.-the flowers.  Another hundred for the tux --",--
Get her to act like a human,human
Do what?,what?
How'd you do it?,it?
A deal's a deal.,deal.
It's about time.,time.
"Forget her sister, then.",then.
Forget it.,it.
A hundred bucks a date.,date.
What?,What?
I just upped my price,price
I got her under control. She just acts crazed in public to keep up the image.,image.
Watching the bitch trash my car doesn't count as a date.,date.
I'm on it,it
"When I shell out fifty, I expect results.",results.
"Fifty, and you've got your man.",man.
Take it or leave it.  This isn't a negotiation.,negotiation.
"Fine, thirty.",thirty.
I can't take a girl like that out on twenty bucks.,bucks.
How much?,much?
I can't date her sister until that one gets a boyfriend.  And that's the catch. She doesn't want a boyfriend.,boyfriend.
You're gonna pay me to take out some girl?,girl?
"You got it, Verona.  I pick up the tab, you do the honors.",honors.
But you'd go out with her if you had the cake?,cake?
You need money to take a girl out,out
You just said,said
"Sure, Sparky.  I'll get right on it.",it.
"Yeah, whatever.  I want you to go out with her.",her.
"Two legs, nice rack...",rack...
What do you think?,think?
Yeah,Yeah
Hey -- it's all for the higher good right?,right?
You better not fuck this up.  I'm heavily invested.,invested.
What?  We took bathes together when we were kids.,kids.
You and Verona?,Verona?
"Uh,  yeah.  We're old friend*",friend*
I hear you're helpin' Verona.,Verona.
So what you need to do is recruit a guy who'll go out with her.  Someone who's up for the job.,job.
Does this conversation have a purpose?,purpose?
But she can't go out with you because her sister is this insane head case and no one will go out with her. right?,right?
We're not.,not.
"Well, actually, I thought I'd run an idea by you.  You know, just to see if you're interested.",interested.
We don't chat.,chat.
Nope - just came by to chat,chat
Are you lost?,lost?
Hey.,Hey.
"Oh, honey -- tell me we haven't' progressed to full-on hallucinations.",hallucinations.
William - he asked me to meet him here.,here.
Who?,Who?
Have you seen him?,him?
"Oh, good.  Something new and different for us.",us.
You ' re looking at this from the wrong perspective.  We're making a statement.,statement.
"Okay, okay, we won't go.  It's not like I have a dress anyway",anyway
"Listen to you!  You sound like Betty, all pissed off because Archie is taking Veronica.",Veronica.
"Well, I guess we're not, since we don't have dates .",.
Can you even imagine?  Who the hell would go to this a bastion of commercial excess?,excess?
I got drunk.  I puked.  I got rejected. It was big fun.,fun.
You didn't,didn't
I did Bianca a favor and it backfired.,backfired.
You didn't have a choice?  Where's Kat and what have you done with her?,her?
I didn't have a choice.,choice.
You went to the party?  I thought we were officially opposed to suburban social activity.,activity.
Who cares?,cares?
What'd he say?,say?
No fear.,fear.
You think this'll work?,work?
"If I was Bianca, it would be, ""Any school you want, precious.  Don't forget your tiara.""","tiara."""
Does it matter?,matter?
"I appreciate your efforts toward a speedy death, but I'm consuming.  Do you mind?",mind?
Neither has his heterosexuality.,heterosexuality.
That's never been proven,proven
William didn't even go to high school,school
William would never have gone to a state school.,school.
"So he has this huge raging fit about Sarah Lawrence and insists that I go to his male-dominated, puking frat boy, number one golf team school. I have no say at all.",all.
You could always go with me.  I'm sure William has some friends.,friends.
The people at this school are so incredibly foul.,foul.
But imagine the things he'd say during sex.,sex.
"I realize that the men of this fine institution are severely lacking, but killing yourself so you can be with William Shakespeare is beyond the scope of normal teenage obsessions.  You're venturing far past daytime talk show fodder and entering the world of those who need very expensive therapy.",therapy.
An attempted slit.,slit.
What's this?,this?
Just a little.,little.
"Mandella, eat.  Starving yourself is a very slow way to die.",die.
Block E?,E?
He always look so,so
I'm sure he's completely incapable of doing anything that interesting.,interesting.
That's Pat Verona? The one who was gone for a year? I heard he was doing porn movies.,movies.
Patrick Verona   Random skid.,skid.
Who's that?,that?
Don ' t you even dare. . .,.
"Oh, Bianca?  Can you get me my freshman yearbook?",yearbook?
Because I like to torture you.,you.
Why is my veggie burger the only burnt object on this grill?,grill?
"Yeah, but then I fucked up. I fell for her.",her.
Is that right?,right?
"Besides, I had some extra cash. Some asshole paid me to take out a really great girl.",girl.
I thought you could use it. When you start your band.,band.
A Fender Strat. You bought this?,this?
I didn't care about the money.,money.
"Really?  What was it like?  A down payment now, then a bonus for sleeping with me?",me?
It wasn't like that.,that.
You were paid to take me out!  By -- the one person I truly hate.  I knew it was a set-up!,set-up!
Wait I...,I...
It gets worse -- you still have your freshman yearbook?,yearbook?
That ' s completely adorable!,adorable!
"That's where I was last year.  She'd never lived alone -- my grandfather died -- I stayed with her.  I wasn't in jail, I don't know Marilyn Manson, and I've never slept with a Spice Girl.  I spent a year sitting next to my grandma on the couch watching Wheel of Fortune.  End of story.",story.
What?,What?
My grandmother's .,.
"Look, I'm  -- sorry -- that I questioned your motives.  I was wrong.",wrong.
Oh huh,huh
It's just something I had.  You know,know
It's Scurvy's.  His date got convicted. Where'd you get the dress?,dress?
How'd you get a tux at the last minute?,minute?
Nothing!  There's nothing in it for me. Just the pleasure of your company.,company.
"Answer the question, Patrick",Patrick
You need therapy.  Has anyone ever told you that?,that?
You tell me.,me.
So I have to have a motive to be with you?,you?
Create a little drama?  Start a new rumor?  What?,What?
Because I don't want to. It's a stupid tradition.,tradition.
Why not?,not?
"No, I won't go with you",you
No what?,what?
No.,No.
You know what I mean,mean
Is that a request or a command?,command?
Go to the prom with me,me
You're amazingly self-assured. Has anyone ever told you that?,that?
No one else knows,knows
What?,What?
You're sweet.  And sexy.  And completely hot for me.,me.
No -- something real.  Something no one else knows.,knows.
I hate peas.,peas.
Tell me something true.,true.
I know the porn career's a lie.,lie.
Hearsay.,Hearsay.
The duck?,duck?
Fallacy.,Fallacy.
State trooper?,trooper?
For. . . ?,?
You up for it?,it?
You never disappointed me.,me.
How?,How?
Then you screwed up,up
Something like that,that
"So if you disappoint them from the start, you're covered?",covered?
I don't like to do what people expect. Then they expect it all the time and they get disappointed when you change.,change.
Yes,Yes
Acting the way we do.,do.
So what's your excuse?,excuse?
"Yeah, well, don't let it get out",out
A soft side? Who knew?,knew?
I dazzled him with my wit,wit
So how'd you get Chapin to look the other way?,way?
Good call.,call.
I figured it had to be something ridiculous to win your respect.  And piss you off.,off.
The Partridge Family?,Family?
Maybe.,Maybe.
You want me to climb up and show you how to get down?,down?
Forget it.  I'm stayin'.,stayin'.
Put your right foot there --,--
Try lookin' at it from this angle,angle
C'mon.  It's not that bad,bad
I guess I never told you I'm afraid of heights.,heights.
"Look up, sunshine",sunshine
He left!  I sprung the dickhead and he cruised on me.,me.
Other than my upchuck reflex? Nothing.,Nothing.
So what did I have an effect on ?,?
Don't for one minute think that you had any effect whatsoever on my panties.,panties.
Unwelcome?  I guess someone still has her panties in a twist.,twist.
Unwelcome.,Unwelcome.
Wholesome.,Wholesome.
Pleasant?,Pleasant?
You 're so --,--
I heard there was a poetry reading.,reading.
What are you doing here?,here?
"Excuse me, have you seen The Feminine Mystique?  I lost my copy.",copy.
"No offense, but you're sister is without.  I know everyone likes her and all, but ...",...
